lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01001495,Torfaen 008C,W06000020,Torfaen,8,7,7,6,6,7,10,4,5,South East Wales
W01001555,Monmouthshire 006A,W06000021,Monmouthshire,9,10,9,10,10,1,9,7,9,South East Wales
W01000718,Carmarthenshire 010D,W06000010,Carmarthenshire,4,4,3,3,5,9,3,7,7,Mid and South West Wales
W01001366,Caerphilly 019A,W06000018,Caerphilly,6,6,5,5,5,7,7,3,8,South East Wales
W01001505,Torfaen 013B,W06000020,Torfaen,8,8,7,7,7,5,7,4,5,South East Wales
W01001745,Cardiff 043D,W06000015,Cardiff,9,8,9,8,8,7,9,3,6,South East Wales
W01000770,Swansea 020C,W06000011,Swansea,10,9,9,9,9,10,9,8,10,Mid and South West Wales
W01001654,Newport 002D,W06000022,Newport,8,8,7,7,7,10,6,4,7,South East Wales
W01001893,Cardiff 010B,W06000015,Cardiff,7,6,7,7,7,7,6,3,5,South East Wales
W01000837,Swansea 004D,W06000011,Swansea,10,10,10,10,10,6,10,8,9,Mid and South West Wales
W01000853,Swansea 022A,W06000011,Swansea,10,9,9,9,10,10,7,5,8,Mid and South West Wales
W01001747,Cardiff 027A,W06000015,Cardiff,8,6,7,8,7,10,8,4,8,South East Wales
W01000858,Swansea 027A,W06000011,Swansea,10,10,10,10,10,10,3,7,8,Mid and South West Wales
W01000102,Gwynedd 002E,W06000002,Gwynedd,9,9,9,7,10,5,7,10,3,North Wales
